ha_original,ha_atual,var_floresta,pasto_recente,lavoura_ativa_crops,mosaico_mapbiomas_c21,classe_risco
132.5,128.91,-3.59,45.95,2.2,0,1
111.29,111.44,0.15,47.88,0.83,0,2
138.17,138.77,0.6,0.47,9.55,1,0
75.01,77.23,2.22,1.11,16.68,1,0
18.22,18.47,0.25,2.15,0.0,0,2
99.27,99.06,-0.21,1.9,0.0,0,2
127.6,91.45,-36.15,32.29,3.69,1,1
115.42,116.12,0.7,0.7,0.0,0,2
58.55,58.52,-0.03,0.0,16.58,1,0
109.59,110.69,1.1,1.23,9.99,1,0
144.63,130.81,-13.82,41.31,0.87,1,2
38.55,38.87,0.32,1.1,0.0,0,2
107.77,98.59,-9.18,24.69,3.16,1,1
41.62,43.04,1.42,0.42,15.01,1,0
93.12,93.66,0.54,48.57,0.97,0,1
39.46,35.3,-4.16,25.87,4.08,1,1
56.55,57.05,0.5,14.26,0.23,0,2
51.01,52.19,1.18,1.01,9.88,1,0
15.55,0.1,-15.45,21.14,2.41,1,1
117.18,116.65,-0.53,0.17,0.0,0,0
98.88,63.4,-35.48,26.0,2.05,0,1
137.36,137.96,0.6,0.0,16.39,1,0
11.92,12.79,0.87,20.98,0.05,0,1
21.4,21.81,0.41,1.65,12.08,1,0
37.97,37.87,-0.1,1.72,0.0,0,1
131.56,99.33,-32.23,25.23,0.9,1,1
139.52,120.07,-19.45,21.77,4.5,1,1
29.18,29.43,0.25,30.32,0.12,0,2
149.74,106.98,-42.76,11.54,1.22,1,1
35.5,36.06,0.56,0.79,5.0,1,1
6.78,0.1,-6.68,25.45,0.83,0,1
94.65,94.22,-0.43,14.95,0.04,0,2
78.3,79.46,1.16,0.31,11.03,1,0
75.67,60.9,-14.77,29.63,3.4,0,1
105.96,63.01,-42.95,33.74,2.51,1,0
120.82,87.66,-33.16,27.49,0.46,0,1
7.13,7.39,0.26,1.21,9.41,1,0
97.03,97.61,0.58,0.0,0.0,0,1
63.74,64.21,0.47,1.93,7.29,1,0
23.63,20.27,-3.36,35.37,0.81,0,2
50.28,15.41,-34.87,26.96,2.97,1,1
63.64,63.37,-0.27,48.23,0.08,0,2
72.61,62.81,-9.8,20.45,2.11,1,1
54.3,21.36,-32.94,42.45,3.7,0,1
92.5,93.01,0.51,39.83,0.95,0,2
134.7,122.29,-12.41,32.74,4.78,1,1
25.53,26.62,1.09,0.17,10.05,1,0
109.21,66.51,-42.7,19.19,1.25,1,1
42.38,42.87,0.49,2.9,0.0,0,0
103.05,103.93,0.88,0.1,9.55,1,0
100.81,101.2,0.39,1.03,9.56,1,0
141.37,140.9,-0.47,26.63,0.53,0,2
99.97,100.19,0.22,1.07,8.54,1,0
88.51,75.4,-13.11,22.9,4.65,0,1
31.96,32.09,0.13,0.32,0.0,0,2
108.54,108.89,0.35,45.05,0.55,0,2
110.78,111.93,1.15,1.01,9.32,1,0
17.84,17.89,0.05,1.49,20.82,1,0
51.86,51.33,-0.53,0.0,0.0,0,2
91.8,92.91,1.11,1.38,16.04,1,0
96.62,97.8,1.18,0.0,18.63,1,0
77.19,51.66,-25.53,38.76,1.07,1,1
43.0,43.17,0.17,0.84,16.35,1,0
28.48,28.83,0.35,56.76,0.87,0,2
106.21,66.91,-39.3,33.59,2.04,1,1
6.4,0.1,-6.3,41.25,1.53,1,1
22.48,23.53,1.05,52.67,0.69,0,2
38.98,23.49,-15.49,21.5,1.34,1,1
125.82,125.55,-0.27,17.1,0.04,0,2
24.1,0.1,-24.0,26.51,3.79,0,1
39.4,40.4,1.0,0.8,7.26,1,0
48.17,49.1,0.93,33.54,0.65,0,1
80.41,80.03,-0.38,2.08,0.0,0,2
103.63,105.11,1.48,0.85,4.8,1,0
137.64,137.88,0.24,2.93,0.0,0,2
6.6,7.83,1.23,0.15,9.52,1,0
84.64,85.0,0.36,1.47,0.0,0,2
27.29,27.71,0.42,1.18,13.35,1,0
99.83,99.99,0.16,0.71,6.06,1,0
9.23,9.17,-0.06,2.32,0.0,0,2
44.73,44.95,0.22,26.72,0.29,0,2
27.28,0.1,-27.18,36.52,0.75,1,2
107.74,107.32,-0.42,1.75,0.0,0,2
57.52,57.45,-0.07,40.41,0.64,0,2
99.38,98.74,-0.64,17.21,0.38,0,2
40.13,39.93,-0.2,42.37,0.07,0,2
144.54,144.67,0.13,30.07,0.73,0,2
22.14,21.85,-0.29,1.33,20.31,1,0
42.32,42.17,-0.15,2.63,0.0,0,2
43.51,43.3,-0.21,2.1,5.88,1,0
57.67,57.04,-0.63,1.38,3.38,1,0
111.64,111.42,-0.22,40.75,0.36,0,2
111.63,110.96,-0.67,47.77,0.49,0,2
23.14,24.69,1.55,0.0,19.17,1,0
103.67,104.65,0.98,45.98,0.86,0,2
15.05,15.86,0.81,0.78,17.36,1,0
104.12,75.27,-28.85,36.96,1.28,1,1
10.4,10.43,0.03,0.94,0.0,0,2
66.66,51.69,-14.97,26.15,1.09,1,1
48.14,21.76,-26.38,16.56,2.79,1,1
35.7,22.09,-13.61,19.75,4.48,0,1
68.91,69.52,0.61,30.04,0.08,0,2
77.73,63.64,-14.09,21.36,4.01,0,1
82.71,83.25,0.54,0.95,0.0,0,2
133.87,134.74,0.87,0.19,4.77,1,0
31.96,0.1,-31.86,17.41,1.96,0,1
43.46,44.25,0.79,1.0,0.0,0,2
24.67,26.39,1.72,1.27,9.79,1,0
71.65,55.69,-15.96,21.19,2.95,0,1
63.75,63.89,0.14,40.76,0.96,0,2
28.32,27.7,-0.62,29.31,0.46,0,1
34.33,25.43,-8.9,44.98,3.62,0,1
129.09,128.85,-0.24,0.0,18.71,1,0
75.27,75.36,0.09,25.56,0.14,0,2
127.04,127.27,0.23,57.0,0.68,0,2
140.55,140.45,-0.1,15.6,0.8,0,2
128.05,129.11,1.06,1.64,19.37,1,0
28.96,30.65,1.69,1.69,3.93,1,0
38.81,16.34,-22.47,26.04,1.49,0,1
112.89,112.69,-0.2,23.1,0.16,0,2
98.89,99.26,0.37,2.37,0.0,0,2
54.01,53.17,-0.84,0.33,0.0,0,1
57.65,20.81,-36.84,45.56,3.27,0,1
139.33,138.17,-1.16,3.8,0.0,0,2
58.56,38.38,-20.18,17.65,0.99,1,1
65.75,67.32,1.57,0.79,19.2,1,0
44.37,44.56,0.19,48.62,0.68,0,2
76.48,76.35,-0.13,1.48,13.6,1,0
59.12,59.34,0.22,1.74,11.32,1,0
64.2,63.94,-0.26,1.22,0.0,0,2
110.51,110.48,-0.03,30.0,0.49,0,0
26.46,26.43,-0.03,3.03,16.3,1,0
61.44,61.85,0.41,1.23,0.0,0,2
9.72,10.36,0.64,2.58,0.0,0,2
129.46,131.34,1.88,1.17,11.95,1,0
80.62,80.59,-0.03,0.65,3.63,1,0
70.97,70.63,-0.34,44.72,0.01,0,2
88.95,89.07,0.12,2.69,0.0,0,2
74.94,76.65,1.71,0.67,8.03,1,0
27.67,27.85,0.18,59.04,0.03,0,2
136.88,136.93,0.05,2.47,10.19,1,0
124.76,91.69,-33.07,48.82,0.76,1,1
127.41,102.38,-25.03,46.75,4.54,1,1
50.2,51.17,0.97,21.69,0.88,0,2
146.59,146.79,0.2,1.35,11.08,1,0
14.99,16.58,1.59,0.91,6.34,1,0
116.0,116.46,0.46,1.17,8.7,1,1
17.28,18.69,1.41,0.13,8.47,1,0
54.56,25.23,-29.33,8.76,1.5,1,1
75.11,52.43,-22.68,14.22,0.01,1,1
21.72,12.91,-8.81,44.19,1.6,1,1
80.43,81.22,0.79,0.45,0.0,0,2
43.44,43.52,0.08,17.41,0.73,0,2
29.12,29.16,0.04,1.44,0.0,0,1
115.05,86.75,-28.3,29.47,4.4,1,1
139.44,140.42,0.98,0.0,9.3,1,0
48.9,11.54,-37.36,37.88,3.56,0,1
42.44,44.49,2.05,1.78,3.21,1,0
60.9,61.02,0.12,2.32,0.0,0,2
84.52,84.95,0.43,1.87,11.29,1,2
10.72,10.21,-0.51,21.99,0.73,0,2
139.42,102.63,-36.79,16.6,3.09,0,1
30.16,30.45,0.29,36.64,0.31,0,2
95.96,96.76,0.8,0.0,8.92,1,0
127.8,127.97,0.17,34.07,0.65,0,2
96.8,98.67,1.87,1.22,7.78,1,0
23.39,0.1,-23.29,22.11,4.98,0,2
18.69,18.67,-0.02,0.6,0.0,0,2
63.53,65.52,1.99,1.45,19.58,1,0
140.49,140.64,0.15,1.48,0.0,0,2
32.32,0.1,-32.22,10.68,1.34,0,1
45.2,45.91,0.71,1.0,7.84,1,0
47.18,47.36,0.18,23.5,0.51,0,2
92.78,94.25,1.47,1.13,9.22,1,0
14.54,9.56,-4.98,14.96,1.86,0,1
10.72,11.06,0.34,0.23,8.34,1,0
16.89,0.1,-16.79,20.63,1.22,1,1
65.6,67.09,1.49,0.63,20.35,1,0
34.82,35.47,0.65,0.92,10.33,1,0
92.86,93.01,0.15,18.95,0.61,0,2
88.18,88.49,0.31,2.9,0.0,0,2
5.57,4.71,-0.86,1.68,0.0,0,2
87.84,88.2,0.36,0.78,0.0,0,2
141.88,142.81,0.93,1.81,7.81,1,0
31.69,32.83,1.14,0.68,19.12,1,0
54.76,12.15,-42.61,31.74,1.69,1,1
132.78,132.89,0.11,0.78,0.0,0,2
113.51,114.02,0.51,0.0,14.22,1,0
81.04,81.09,0.05,50.36,0.87,0,2
80.92,57.96,-22.96,14.97,0.29,0,1
11.69,13.1,1.41,0.0,8.35,1,0
141.48,140.62,-0.86,28.76,0.4,0,2
54.36,54.64,0.28,1.64,0.0,0,2
139.68,140.19,0.51,1.74,0.0,0,2
147.74,147.87,0.13,52.39,0.53,0,2
136.51,120.34,-16.17,16.71,2.6,1,1
98.14,98.07,-0.07,0.0,0.0,0,2
30.49,32.6,2.11,0.76,12.76,1,0
97.12,98.68,1.56,0.15,15.47,1,0
23.72,23.81,0.09,0.0,0.0,0,2
79.35,60.11,-19.24,35.46,1.21,1,1
123.35,123.14,-0.21,56.8,0.96,0,2
47.41,48.87,1.46,0.48,7.91,1,0
91.91,68.15,-23.76,12.75,0.29,0,1
81.03,81.08,0.05,1.2,15.84,1,0
19.07,18.89,-0.18,35.32,0.47,0,2
48.22,51.12,2.9,0.0,13.45,1,0
130.74,131.53,0.79,23.98,0.98,0,2
140.37,137.53,-2.84,19.88,0.2,0,1
32.26,31.89,-0.37,0.0,0.0,0,2
113.23,114.36,1.13,0.97,12.41,1,0
30.99,31.03,0.04,2.28,0.0,0,2
30.2,32.3,2.1,0.75,9.52,1,0
109.88,103.86,-6.02,10.58,3.65,0,1
32.11,1.88,-30.23,47.63,1.38,0,1
13.32,0.1,-13.22,24.04,3.98,1,1
57.48,18.05,-39.43,14.66,0.77,0,1
124.33,96.42,-27.91,31.09,1.27,0,1
125.08,124.62,-0.46,56.53,0.88,0,2
12.81,12.98,0.17,0.15,0.0,0,2
33.52,32.76,-0.76,24.1,0.43,0,2
30.79,32.17,1.38,1.62,12.45,1,0
111.07,66.53,-44.54,48.18,1.19,1,1
56.13,55.41,-0.72,0.3,0.0,0,2
148.16,147.81,-0.35,2.56,0.0,0,2
148.28,148.12,-0.16,26.38,0.35,0,2
49.29,26.12,-23.17,42.27,0.52,1,1
105.46,105.09,-0.37,1.84,0.0,0,2
62.75,63.28,0.53,0.0,15.64,1,0
47.06,46.73,-0.33,57.18,0.06,0,2
31.48,31.39,-0.09,1.24,0.0,0,2
17.87,17.05,-0.82,40.52,0.52,0,2
110.85,112.13,1.28,0.0,8.96,1,0
5.03,5.64,0.61,0.0,0.0,0,2
27.02,27.08,0.06,1.6,0.0,0,2
75.04,40.83,-34.21,46.52,2.89,0,1
143.34,143.16,-0.18,0.62,0.0,0,2
41.23,42.03,0.8,0.17,15.34,1,0
23.02,22.8,-0.22,0.55,0.0,0,2
144.69,134.36,-10.33,42.06,3.12,0,1
42.29,42.56,0.27,1.76,0.0,0,2
74.5,63.54,-10.96,35.73,2.49,1,2
8.2,8.95,0.75,1.13,2.18,1,0
80.73,81.59,0.86,0.53,15.03,1,0
13.58,13.86,0.28,0.0,0.0,0,2
44.11,43.95,-0.16,43.53,0.22,0,2
109.13,109.39,0.26,2.45,0.0,0,2
147.81,148.99,1.18,1.04,18.64,1,0
11.26,11.7,0.44,25.84,0.89,0,0
107.82,66.44,-41.38,24.03,3.74,1,1
103.44,75.86,-27.58,36.25,3.64,0,1
136.71,136.78,0.07,0.0,0.0,0,2
119.56,120.53,0.97,0.44,11.49,1,0
46.97,46.94,-0.03,26.97,0.87,0,2
58.83,16.3,-42.53,30.4,0.17,1,1
128.17,87.33,-40.84,43.73,3.92,0,1
39.0,8.83,-30.17,27.5,3.38,1,1
56.41,22.22,-34.19,45.9,0.98,1,1
40.71,40.67,-0.04,0.42,0.0,0,0
51.36,51.42,0.06,0.25,0.0,0,2
25.68,25.79,0.11,2.5,0.0,0,2
36.33,35.66,-0.67,41.15,0.19,0,2
21.57,21.52,-0.05,33.97,0.02,0,2
112.24,111.67,-0.57,0.43,0.0,0,2
147.35,147.83,0.48,59.58,0.56,0,2
98.56,88.04,-10.52,45.42,2.07,1,1
49.91,25.85,-24.06,11.88,4.92,0,2
100.56,69.71,-30.85,40.4,3.31,1,1
145.02,144.95,-0.07,25.83,0.68,0,2
102.67,102.44,-0.23,3.71,0.0,0,2
119.84,119.72,-0.12,1.25,0.0,0,2
148.02,147.87,-0.15,1.14,0.0,0,2
100.45,99.6,-0.85,18.59,0.89,0,2
45.86,45.82,-0.04,0.0,0.0,0,2
20.18,0.1,-20.08,34.25,2.75,0,1
75.37,77.09,1.72,0.41,15.71,1,2
7.54,7.51,-0.03,1.49,0.0,0,2
65.1,65.0,-0.1,48.56,0.45,0,2
14.51,15.63,1.12,0.0,16.35,1,0
102.04,102.23,0.19,2.47,0.0,0,1
139.68,140.43,0.75,0.0,17.57,1,0
99.93,89.38,-10.55,41.63,3.8,1,1
71.8,71.49,-0.31,2.36,0.0,0,2
19.5,19.43,-0.07,2.48,0.0,0,2
122.47,122.9,0.43,0.5,7.4,1,1
126.96,85.6,-41.36,38.84,1.15,1,1
6.03,5.91,-0.12,1.06,0.0,0,2
77.06,76.26,-0.8,33.6,0.54,0,2
89.11,88.2,-0.91,35.92,0.04,0,2
78.78,78.45,-0.33,32.2,0.89,0,2
131.88,131.86,-0.02,45.56,0.05,0,2
149.47,150.12,0.65,0.0,0.0,0,2
78.17,78.23,0.06,1.4,0.0,0,2
110.45,111.26,0.81,0.65,15.01,1,0
129.67,129.54,-0.13,26.04,0.71,0,2
11.49,11.15,-0.34,0.71,13.35,1,0
70.67,71.19,0.52,53.03,0.8,0,2
45.47,44.74,-0.73,0.0,0.0,0,2
131.23,131.24,0.01,35.92,0.98,0,2
15.48,15.34,-0.14,25.75,0.39,0,1
88.65,89.72,1.07,1.14,6.6,1,0
130.88,131.22,0.34,2.34,0.0,0,2
44.64,44.73,0.09,1.96,0.0,0,2
50.91,51.5,0.59,1.7,0.0,0,2
93.48,59.17,-34.31,28.01,3.46,0,1
111.95,111.68,-0.27,53.37,0.72,0,2
129.71,129.26,-0.45,1.34,0.0,0,2
90.95,90.6,-0.35,0.0,9.79,1,0
132.92,132.23,-0.69,49.12,0.47,0,2
110.69,72.4,-38.29,13.94,3.47,1,1
56.93,56.48,-0.45,2.49,0.0,0,2
133.59,113.52,-20.07,14.33,1.69,0,1
122.08,122.19,0.11,2.38,0.0,0,0
97.28,78.43,-18.85,34.64,1.49,1,1
62.78,62.78,0.0,46.23,0.62,0,2
73.29,39.13,-34.16,45.02,0.51,1,1
69.17,69.74,0.57,1.73,0.0,0,2
133.21,134.01,0.8,0.89,20.24,1,0
88.69,90.2,1.51,0.2,2.83,1,0
26.77,26.72,-0.05,0.27,0.0,0,2
46.07,45.74,-0.33,40.29,0.15,0,2
17.11,17.41,0.3,1.38,9.63,1,0
69.45,41.88,-27.57,23.67,3.72,0,1
143.17,142.91,-0.26,47.62,0.25,0,2
98.21,97.85,-0.36,19.44,0.96,0,2
124.69,124.61,-0.08,43.26,0.13,0,2
135.96,136.02,0.06,1.04,0.0,0,2
85.87,82.61,-3.26,16.2,4.08,1,1
54.92,54.84,-0.08,26.92,0.82,0,2
18.64,18.85,0.21,2.61,0.0,0,2
80.16,79.58,-0.58,0.52,14.9,1,0
71.4,71.38,-0.02,2.18,0.0,0,2
75.44,75.4,-0.04,0.68,0.0,0,2
54.57,54.13,-0.44,40.28,0.53,0,2
49.12,42.28,-6.84,28.36,0.32,0,1
130.69,131.71,1.02,1.26,6.51,1,0
126.53,126.6,0.07,2.29,0.0,0,2
102.77,102.89,0.12,28.9,0.08,0,2
65.67,58.38,-7.29,38.93,3.71,1,1
140.1,134.25,-5.85,22.16,3.91,0,1
38.89,25.89,-13.0,41.54,1.93,1,1
94.97,95.97,1.0,1.53,4.89,1,0
17.82,17.48,-0.34,46.03,0.91,0,2
32.71,32.44,-0.27,23.37,0.62,0,2
82.63,82.88,0.25,1.48,0.0,0,2
111.27,111.8,0.53,2.67,0.0,0,0
85.0,41.12,-43.88,13.49,4.0,0,1
71.83,73.15,1.32,0.97,19.76,1,0
29.21,0.1,-29.11,47.57,3.08,0,1
99.38,99.54,0.16,0.11,11.61,1,0
144.14,144.83,0.69,1.13,3.56,1,0
33.63,33.62,-0.01,59.76,0.66,0,2
115.87,115.8,-0.07,1.53,6.5,1,2
21.25,21.49,0.24,59.36,0.49,0,2
22.7,22.72,0.02,0.0,0.0,0,2
147.37,147.18,-0.19,52.07,0.36,0,2
137.74,138.18,0.44,20.79,0.34,0,2
18.41,0.1,-18.31,43.72,0.98,1,1
54.68,16.57,-38.11,30.04,3.9,1,1
44.39,45.83,1.44,1.38,17.28,1,0
79.93,62.15,-17.78,48.14,3.02,0,1
76.63,77.02,0.39,52.78,0.13,0,2
96.98,96.79,-0.19,2.71,0.0,0,2
83.79,83.39,-0.4,1.48,0.0,0,2
12.78,0.1,-12.68,26.4,2.89,0,1
34.65,34.46,-0.19,0.29,0.0,0,1
19.92,21.7,1.78,1.78,15.77,1,0
86.49,87.07,0.58,0.0,5.68,1,0
95.53,95.34,-0.19,23.94,0.89,0,2
140.77,116.77,-24.0,25.67,3.16,1,1
100.95,100.69,-0.26,47.84,0.48,0,2
82.12,81.9,-0.22,0.0,0.0,0,2
39.43,27.33,-12.1,48.53,1.31,1,1
62.86,50.7,-12.16,14.46,4.85,0,1
78.8,79.14,0.34,28.73,0.13,0,2
131.64,131.81,0.17,0.74,18.71,1,0
141.98,130.02,-11.96,34.25,4.69,1,2
90.28,66.58,-23.7,22.47,3.65,1,1
75.24,54.47,-20.77,41.47,3.8,1,1
86.35,86.69,0.34,23.64,0.44,0,2
101.61,101.88,0.27,0.0,4.65,1,0
75.01,69.44,-5.57,25.29,2.46,1,1
42.2,11.07,-31.13,22.71,4.74,1,1
49.12,49.06,-0.06,0.0,0.0,0,2
105.9,105.83,-0.07,55.29,0.12,0,2
129.91,129.5,-0.41,25.1,0.94,0,2
51.74,53.69,1.95,0.67,15.27,1,0
26.71,12.18,-14.53,44.7,1.08,0,1
95.19,94.77,-0.42,1.5,0.0,0,2
39.08,39.48,0.4,15.81,0.81,0,2
121.79,121.67,-0.12,34.87,0.78,0,2
12.07,12.72,0.65,42.0,0.68,0,2
73.75,62.94,-10.81,12.06,2.49,1,1
89.63,89.3,-0.33,0.0,0.0,0,2
36.2,36.18,-0.02,1.29,0.0,0,2
122.8,123.22,0.42,28.26,0.86,0,2
48.16,6.16,-42.0,14.21,4.62,1,1
78.62,78.32,-0.3,1.02,0.0,0,2
137.69,138.24,0.55,0.0,0.0,0,2
55.56,26.98,-28.58,47.79,0.69,1,1
51.05,36.31,-14.74,33.37,4.48,1,1
106.46,65.97,-40.49,18.15,2.84,0,1
38.13,37.88,-0.25,0.92,0.0,0,2
79.9,80.01,0.11,36.0,0.44,0,2
113.27,113.64,0.37,52.09,0.21,0,2
44.81,17.47,-27.34,39.69,3.46,0,1
61.95,38.67,-23.28,42.4,4.42,1,1
112.94,113.12,0.18,53.9,0.04,0,2
65.15,67.58,2.43,2.12,13.71,1,0
8.41,0.1,-8.31,41.74,0.08,1,1
89.34,58.32,-31.02,42.43,0.72,0,1
78.01,78.96,0.95,1.7,20.08,1,0
26.05,26.35,0.3,26.68,0.8,0,2
57.01,56.83,-0.18,3.45,0.0,0,2
119.02,111.27,-7.75,34.06,4.52,1,1
30.52,19.1,-11.42,21.3,2.23,1,1
140.43,140.35,-0.08,32.2,0.94,0,2
70.6,32.74,-37.86,10.44,1.56,0,1
77.22,63.31,-13.91,46.5,2.17,0,1
57.03,58.61,1.58,1.57,19.46,1,0
121.14,122.65,1.51,0.0,17.96,1,0
136.43,105.53,-30.9,46.0,1.45,1,1
100.51,100.37,-0.14,0.9,7.35,1,0
39.68,23.09,-16.59,13.44,1.77,1,1
100.52,100.56,0.04,44.11,0.69,0,1
75.33,75.18,-0.15,26.95,0.46,0,2
51.51,52.06,0.55,25.38,0.71,0,2
101.11,101.19,0.08,1.76,0.0,0,2
32.88,2.36,-30.52,10.97,2.74,0,1
85.72,85.64,-0.08,2.34,0.0,0,2
14.23,14.22,-0.01,0.66,0.0,0,2
22.76,23.43,0.67,2.54,0.0,0,0
92.56,92.45,-0.11,31.9,0.8,0,2
55.66,56.66,1.0,49.23,0.45,0,2
